"","tconst","m1","m2","m3","m4"
"138","tt0018526","kiss me deadly","12 angry men","toy story 3","drive"
"139","tt0018528","the cabinet of dr. caligari","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"140","tt0018578","the wizard of oz","casablanca","psycho","to kill a mockingbird"
"141","tt0018737","rashomon","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"142","tt0018742","citizen kane","casablanca","rear window","seven samurai"
"143","tt0018770","the passion of joan of arc","seven samurai","2001: a space odyssey","fanny and alexander"
"144","tt0018773","the gold rush","city lights","modern times","2001: a space odyssey"
"145","tt0018806","sunset boulevard","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"146","tt0018839","seven samurai","vertigo","psycho","2001: a space odyssey"
"147","tt0018876","duck soup","the gay divorcee","it happened one night","ninotchka"
"148","tt0019067","the women","the maltese falcon","all about eve","sunset boulevard"
"149","tt0019071","m","casablanca","rear window","seven samurai"
"150","tt0019074","ikiru","sansho the bailiff","eternal sunshine of the spotless mind","once"
"151","tt0019109","singin' in the rain","rear window","to kill a mockingbird","night of the living dead"
"152","tt0019130","citizen kane","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"153","tt0019237","snow white and the seven dwarfs","the umbrellas of cherbourg","belle de jour","blade runner"
"154","tt0019254","citizen kane","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"155","tt0019286","snow white and the seven dwarfs","8½","the wild bunch","amadeus"
"156","tt0019304","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"157","tt0019379","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"158","tt0019403","casablanca","vertigo","some like it hot","dr. strangelove or: how i learned to stop worrying and love the bomb"
"159","tt0019412","godzilla","a clockwork orange","blade runner","brazil"
"160","tt0019415","casablanca","notorious","the third man","north by northwest"
"161","tt0019421","the general","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"162","tt0019429","the adventures of robin hood","sunset boulevard","rear window","12 angry men"
"163","tt0019558","sunset boulevard","rear window","sabrina","blade runner"
"164","tt0019563","citizen kane","blade runner","brazil","platoon"
"165","tt0019585","m","citizen kane","psycho","2001: a space odyssey"
"166","tt0019644","it's a wonderful life","back to the future","the pianist","city of god"
"167","tt0019649","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"168","tt0019702","notorious","sunset boulevard","rear window","psycho"
"169","tt0019729","gone with the wind","the wizard of oz","the maltese falcon","casablanca"
"170","tt0019760","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange"
"171","tt0019777","animal crackers","horse feathers","duck soup","a night at the opera"
"172","tt0019823","gone with the wind","citizen kane","casablanca","12 angry men"
"173","tt0019901","it's a wonderful life","lawrence of arabia","blade runner","aliens"
"174","tt0019935","rear window","vertigo","north by northwest","the wild bunch"
"175","tt0020030","the wizard of oz","psycho","the terminator","back to the future"
"176","tt0020075","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"177","tt0020092","some kind of wonderful","coming to america","police academy 5: assignment: miami beach","v for vendetta"
"178","tt0020112","citizen kane","the maltese falcon","laura","all about eve"
"179","tt0020122","the last laugh","psycho","2001: a space odyssey","the french connection"
