,tconst,directors,,,,,,,,,,,,,
5523,tt0056504,nm0000736,,,,,,,,,,,,,
5524,tt0056512,nm0728271,,,,,,,,,,,,,
5525,tt0056514,nm0959916,,,,,,,,,,,,,
5526,tt0056526,nm0001207,,,,,,,,,,,,,
5527,tt0056537,nm0315547,,,,,,,,,,,,,
5528,tt0056541,nm0112218,,,,,,,,,,,,,
5529,tt0056552,nm0000339,,,,,,,,,,,,,
5530,tt0056556,nm0496746,,,,,,,,,,,,,
5531,tt0056566,nm0454771,,,,,,,,,,,,,
5532,tt0056575,nm0542720,,,,,,,,,,,,,
5533,tt0056576,nm0521334,,,,,,,,,,,,,
5534,tt0056579,nm0076618,,,,,,,,,,,,,
5535,tt0056580,nm0076618,,,,,,,,,,,,,
5536,tt0056583,nm0467646,,,,,,,,,,,,,
5537,tt0056592,nm0612322,,,,,,,,,,,,,
5538,tt0056593,nm0459567,,,,,,,,,,,,,
5539,tt0056625,nm0591486,,,,,,,,,,,,,
5540,tt0056626,nm0936404,,,,,,,,,,,,,
5541,tt0056628,nm0440869,,,,,,,,,,,,,
5542,tt0056632,nm0257698,,,,,,,,,,,,,
5543,tt0056636,nm0894577,,,,,,,,,,,,,
5544,tt0056640,nm0851752,nm0650754,nm0851754,,,,,,,,,,,
5545,tt0056646,nm0786174,,,,,,,,,,,,,
5546,tt0056648,nm0046416,nm0393094,,,,,,,,,,,,
5547,tt0056657,nm0006615,,,,,,,,,,,,,
5548,tt0056658,nm0671862,,,,,,,,,,,,,
5549,tt0056661,nm0560489,,,,,,,,,,,,,
5550,tt0056663,nm0000419,,,,,,,,,,,,,
5551,tt0056665,nm0757790,,,,,,,,,,,,,
5552,tt0056668,nm0001486,,,,,,,,,,,,,
5553,tt0056671,nm0229424,,,,,,,,,,,,,
5554,tt0056673,nm0347086,,,,,,,,,,,,,
5555,tt0056687,nm0000736,,,,,,,,,,,,,
5556,tt0056692,nm0000540,,,,,,,,,,,,,
5557,tt0056693,nm0824306,,,,,,,,,,,,,
5558,tt0056700,nm0657162,nm0505610,,,,,,,,,,,,
5559,tt0056703,nm0137046,,,,,,,,,,,,,
5560,tt0056704,nm0654109,,,,,,,,,,,,,
5561,tt0056713,nm0465461,,,,,,,,,,,,,
5562,tt0056714,nm0593014,,,,,,,,,,,,,
5563,tt0056725,nm0145336,,,,,,,,,,,,,
5564,tt0056732,nm0000320,,,,,,,,,,,,,
5565,tt0056736,nm0000774,,,,,,,,,,,,,
5566,tt0056796,nm0145336,,,,,,,,,,,,,
5567,tt0056800,nm0337885,nm0712947,,,,,,,,,,,,
5568,tt0056801,nm0000019,,,,,,,,,,,,,
5569,tt0056804,nm0702410,,,,,,,,,,,,,
5570,tt0056810,nm0770196,,,,,,,,,,,,,
5571,tt0056818,nm0781751,,,,,,,,,,,,,
5572,tt0056819,nm0351842,,,,,,,,,,,,,
5573,tt0056825,nm0001415,,,,,,,,,,,,,
5574,tt0056846,nm0218840,,,,,,,,,,,,,
5575,tt0056860,nm0038906,,,,,,,,,,,,,
5576,tt0056868,nm0772259,,,,,,,,,,,,,
5577,tt0056869,nm0000033,,,,,,,,,,,,,
5578,tt0056875,nm0504496,,,,,,,,,,,,,
5579,tt0056876,nm0673051,,,,,,,,,,,,,
5580,tt0056883,nm0001120,,,,,,,,,,,,,
5581,tt0056891,nm0796645,,,,,,,,,,,,,
5582,tt0056897,nm0235066,,,,,,,,,,,,,
5583,tt0056903,nm0588183,,,,,,,,,,,,,
5584,tt0056904,nm0005738,,,,,,,,,,,,,
5585,tt0056905,nm0000419,,,,,,,,,,,,,
5586,tt0056907,nm0695937,,,,,,,,,,,,,
5587,tt0056908,nm0058826,,,,,,,,,,,,,
5588,tt0056910,nm0006445,,,,,,,,,,,,,
5589,tt0056912,nm0858873,,,,,,,,,,,,,
5590,tt0056918,nm0002131,,,,,,,,,,,,,
5591,tt0056919,nm0001232,,,,,,,,,,,,,
5592,tt0056921,nm0245213,,,,,,,,,,,,,
5593,tt0056923,nm0002045,,,,,,,,,,,,,
5594,tt0056930,nm0001023,,,,,,,,,,,,,
5595,tt0056931,nm0494903,,,,,,,,,,,,,
5596,tt0056937,nm0000581,,,,,,,,,,,,,
5597,tt0056940,nm0005570,,,,,,,,,,,,,
5598,tt0056942,nm0707597,,,,,,,,,,,,,
5599,tt0056943,nm0869664,,,,,,,,,,,,,
5600,tt0056945,nm0598102,,,,,,,,,,,,,
5601,tt0056950,nm0275034,,,,,,,,,,,,,
5602,tt0056952,nm0164999,,,,,,,,,,,,,
5603,tt0056955,nm0006615,,,,,,,,,,,,,
5604,tt0056956,nm0591486,,,,,,,,,,,,,
5605,tt0056957,nm0514822,,,,,,,,,,,,,
5606,tt0056961,nm0834744,,,,,,,,,,,,,
5607,tt0056964,nm0918659,,,,,,,,,,,,,
5608,tt0056969,nm0335093,,,,,,,,,,,,,
5609,tt0056982,nm0301145,,,,,,,,,,,,,
5610,tt0056983,nm0000338,,,,,,,,,,,,,
5611,tt0056989,nm0840671,,,,,,,,,,,,,
5612,tt0056993,nm0494110,,,,,,,,,,,,,
5613,tt0056995,nm0689121,,,,,,,,,,,,,
5614,tt0057004,nm0859387,,,,,,,,,,,,,
5615,tt0057006,nm0274659,,,,,,,,,,,,,
5616,tt0057007,nm0000406,,,,,,,,,,,,,
5617,tt0057012,nm0000040,,,,,,,,,,,,,
5618,tt0057026,nm0757790,,,,,,,,,,,,,
5619,tt0057051,nm0320833,,,,,,,,,,,,,
5620,tt0057058,nm0001501,,,,,,,,,,,,,
5621,tt0057063,nm0164044,,,,,,,,,,,,,
5622,tt0057067,nm0330456,,,,,,,,,,,,,
5623,tt0057068,nm0856319,,,,,,,,,,,,,
5624,tt0057069,nm0422484,,,,,,,,,,,,,
5625,tt0057071,nm0000736,,,,,,,,,,,,,
5626,tt0057076,nm0950109,,,,,,,,,,,,,
5627,tt0057078,nm0000878,,,,,,,,,,,,,
5628,tt0057083,nm0861703,,,,,,,,,,,,,
5629,tt0057089,nm0804734,nm0388956,,,,,,,,,,,,
5630,tt0057090,nm0542720,,,,,,,,,,,,,
5631,tt0057091,nm0899581,,,,,,,,,,,,,
5632,tt0057093,nm0506187,,,,,,,,,,,,,
5633,tt0057115,nm0836328,,,,,,,,,,,,,
5634,tt0057128,nm0000339,,,,,,,,,,,,,
5635,tt0057129,nm0936404,,,,,,,,,,,,,
5636,tt0057134,nm0099592,nm0099589,,,,,,,,,,,,
5637,tt0057155,nm0210130,,,,,,,,,,,,,
5638,tt0057162,nm0412465,,,,,,,,,,,,,
5639,tt0057163,nm0728688,,,,,,,,,,,,,
5640,tt0057168,nm0623768,,,,,,,,,,,,,
5641,tt0057171,nm0001120,,,,,,,,,,,,,
5642,tt0057180,nm0548529,,,,,,,,,,,,,
5643,tt0057181,nm0824306,,,,,,,,,,,,,
5644,tt0057187,nm0000697,,,,,,,,,,,,,
5645,tt0057189,nm0196536,,,,,,,,,,,,,
5646,tt0057191,nm0851537,,,,,,,,,,,,,
5647,tt0057193,nm0006452,,,,,,,,,,,,,
5648,tt0057197,nm0149548,,,,,,,,,,,,,
5649,tt0057200,nm0038906,,,,,,,,,,,,,
5650,tt0057202,nm0005774,nm0003408,,,,,,,,,,,,
5651,tt0057207,nm0290802,,,,,,,,,,,,,
5652,tt0057215,nm0393094,,,,,,,,,,,,,
5653,tt0057225,nm0496746,,,,,,,,,,,,,
5654,tt0057226,nm0789033,,,,,,,,,,,,,
5655,tt0057227,nm0625383,,,,,,,,,,,,,
5656,tt0057229,nm0313745,,,,,,,,,,,,,
5657,tt0057230,nm0001232,,,,,,,,,,,,,
5658,tt0057232,nm0514816,nm0592807,,,,,,,,,,,,
5659,tt0057238,nm0475542,,,,,,,,,,,,,
5660,tt0057239,nm0285302,,,,,,,,,,,,,
5661,tt0057242,nm0675068,,,,,,,,,,,,,
5662,tt0057244,nm0002089,,,,,,,,,,,,,
5663,tt0057248,nm0497379,,,,,,,,,,,,,
5664,tt0057251,nm0625680,,,,,,,,,,,,,
5665,tt0057254,nm0001379,,,,,,,,,,,,,
5666,tt0057259,nm0002153,,,,,,,,,,,,,
5667,tt0057261,nm0111656,,,,,,,,,,,,,
5668,tt0057262,nm0842582,,,,,,,,,,,,,
5669,tt0057263,nm0612322,,,,,,,,,,,,,
5670,tt0057268,nm0292720,,,,,,,,,,,,,
5671,tt0057271,nm0526971,,,,,,,,,,,,,
5672,tt0057274,nm0677880,,,,,,,,,,,,,
5673,tt0057277,nm0006249,,,,,,,,,,,,,
5674,tt0057286,nm0742940,,,,,,,,,,,,,
5675,tt0057295,nm0393094,,,,,,,,,,,,,
5676,tt0057298,nm0572132,,,,,,,,,,,,,
5677,tt0057307,nm0468002,,,,,,,,,,,,,
5678,tt0057318,nm0146974,nm0415059,nm3626527,,,,,,,,,,,
5679,tt0057323,nm0728271,,,,,,,,,,,,,
5680,tt0057328,nm0504513,,,,,,,,,,,,,
5681,tt0057329,nm0330456,,,,,,,,,,,,,
5682,tt0057334,nm0689659,,,,,,,,,,,,,
5683,tt0057336,nm0720297,,,,,,,,,,,,,
5684,tt0057344,nm0894577,,,,,,,,,,,,,
5685,tt0057345,nm0000419,,,,,,,,,,,,,
5686,tt0057358,nm0000005,,,,,,,,,,,,,
5687,tt0057360,nm0789520,,,,,,,,,,,,,
5688,tt0057362,nm0733476,,,,,,,,,,,,,
5689,tt0057363,nm0408076,,,,,,,,,,,,,
5690,tt0057372,nm0001471,,,,,,,,,,,,,
5691,tt0057379,nm0145336,,,,,,,,,,,,,
5692,tt0057380,nm0293707,,,,,,,,,,,,,
5693,tt0057381,nm0417352,,,,,,,,,,,,,
5694,tt0057393,nm0554169,,,,,,,,,,,,,
5695,tt0057400,nm0550892,,,,,,,,,,,,,
5696,tt0057413,nm0001175,,,,,,,,,,,,,
5697,tt0057422,nm0320833,,,,,,,,,,,,,
5698,tt0057426,nm0733476,,,,,,,,,,,,,
5699,tt0057427,nm0000080,,,,,,,,,,,,,
5700,tt0057442,nm0001596,nm0345363,,,,,,,,,,,,
5701,tt0057449,nm0000339,,,,,,,,,,,,,
5702,tt0057465,nm0484824,,,,,,,,,,,,,
5703,tt0057467,nm0502391,,,,,,,,,,,,,
5704,tt0057490,nm0521334,,,,,,,,,,,,,
5705,tt0057494,nm0455839,,,,,,,,,,,,,
5706,tt0057495,nm0002087,,,,,,,,,,,,,
5707,tt0057503,nm0849080,,,,,,,,,,,,,
5708,tt0057507,nm0290118,,,,,,,,,,,,,
5709,tt0057517,nm0625680,,,,,,,,,,,,,
5710,tt0057518,nm0829038,,,,,,,,,,,,,
5711,tt0057521,nm0514763,,,,,,,,,,,,,
5712,tt0057522,nm0292720,,,,,,,,,,,,,
5713,tt0057523,nm0202681,,,,,,,,,,,,,
5714,tt0057532,nm0274659,,,,,,,,,,,,,
5715,tt0057535,nm0002086,,,,,,,,,,,,,
5716,tt0057536,nm0688646,,,,,,,,,,,,,
5717,tt0057540,nm0603129,nm0728271,,,,,,,,,,,,
5718,tt0057541,nm0946811,,,,,,,,,,,,,
5719,tt0057542,nm0624809,,,,,,,,,,,,,
5720,tt0057543,nm0856715,,,,,,,,,,,,,
5721,tt0057546,nm0718627,,,,,,,,,,,,,
5722,tt0057556,nm0467396,,,,,,,,,,,,,
5723,tt0057558,nm0445650,,,,,,,,,,,,,
5724,tt0057565,nm0000041,,,,,,,,,,,,,
5725,tt0057569,nm0415911,nm0000339,nm0000338,nm0000197,nm0375494,nm0384335,nm8466308,,,,,,,
5726,tt0057578,nm0000755,,,,,,,,,,,,,
5727,tt0057579,nm0149548,,,,,,,,,,,,,
5728,tt0057581,nm0422484,,,,,,,,,,,,,
5729,tt0057583,nm0796645,,,,,,,,,,,,,
5730,tt0057589,nm0733634,nm0652631,,,,,,,,,,,,
5731,tt0057590,nm0724798,,,,,,,,,,,,,
5732,tt0057591,nm0491626,,,,,,,,,,,,,
5733,tt0057598,nm0001351,,,,,,,,,,,,,
5734,tt0057603,nm0000878,,,,,,,,,,,,,
5735,tt0057608,nm0758508,,,,,,,,,,,,,
5736,tt0057609,nm0755963,,,,,,,,,,,,,
5737,tt0057611,nm0000005,,,,,,,,,,,,,
5738,tt0057622,nm0842582,,,,,,,,,,,,,
5739,tt0057634,nm0002190,,,,,,,,,,,,,
5740,tt0057637,nm0745498,,,,,,,,,,,,,
5741,tt0057642,nm0733846,,,,,,,,,,,,,
5742,tt0057643,nm0305557,,,,,,,,,,,,,
5743,tt0057646,nm0546672,,,,,,,,,,,,,
5744,tt0057652,nm0286025,,,,,,,,,,,,,
5745,tt0057654,nm0673051,,,,,,,,,,,,,
5746,tt0057681,nm0002137,,,,,,,,,,,,,
5747,tt0057683,nm0850895,,,,,,,,,,,,,
5748,tt0057688,nm0723664,,,,,,,,,,,,,
5749,tt0057693,nm0000339,,,,,,,,,,,,,
5750,tt0057694,nm0199381,,,,,,,,,,,,,
5751,tt0057697,nm0840671,,,,,,,,,,,,,
5752,tt0057710,nm0406728,,,,,,,,,,,,,
5753,tt0057714,nm0946638,,,,,,,,,,,,,
5754,tt0057715,nm0849080,,,,,,,,,,,,,
5755,tt0057717,nm0831590,,,,,,,,,,,,,
5756,tt0057809,nm0780833,,,,,,,,,,,,,
5757,tt0057811,nm0336139,,,,,,,,,,,,,
5758,tt0057812,nm0657162,,,,,,,,,,,,,
5759,tt0057813,nm0318150,,,,,,,,,,,,,
5760,tt0057820,nm0550892,,,,,,,,,,,,,
5761,tt0057829,nm0408076,,,,,,,,,,,,,
5762,tt0057831,nm0128050,,,,,,,,,,,,,
5763,tt0057837,nm0598102,nm0757790,nm0677880,nm0744185,,,,,,,,,,
5764,tt0057840,nm0002137,,,,,,,,,,,,,
5765,tt0057842,nm0216381,,,,,,,,,,,,,
5766,tt0057851,nm0936823,,,,,,,,,,,,,
5767,tt0057859,nm0556140,nm0689565,,,,,,,,,,,,
5768,tt0057864,nm0375494,,,,,,,,,,,,,
5769,tt0057869,nm0000419,,,,,,,,,,,,,
5770,tt0057870,nm0491626,,,,,,,,,,,,,
5771,tt0057877,nm0322706,,,,,,,,,,,,,
5772,tt0057878,nm0506589,,,,,,,,,,,,,
5773,tt0057879,nm0003593,,,,,,,,,,,,,
5774,tt0057880,nm0519882,,,,,,,,,,,,,
5775,tt0057883,nm0769874,,,,,,,,,,,,,
5776,tt0057887,nm0038906,,,,,,,,,,,,,
5777,tt0057889,nm0503594,,,,,,,,,,,,,
5778,tt0057890,nm0366708,,,,,,,,,,,,,
5779,tt0057892,nm0313745,,,,,,,,,,,,,
5780,tt0057897,nm0445650,,,,,,,,,,,,,
5781,tt0057905,nm0819806,,,,,,,,,,,,,
5782,tt0057917,nm0229424,,,,,,,,,,,,,
5783,tt0057918,nm0858873,,,,,,,,,,,,,
5784,tt0057919,nm0858873,,,,,,,,,,,,,
5785,tt0057920,nm0858873,,,,,,,,,,,,,
5786,tt0057924,nm0754575,nm0723226,nm0716262,,,,,,,,,,,
5787,tt0057933,nm0623768,,,,,,,,,,,,,
5788,tt0057935,nm0006249,,,,,,,,,,,,,
5789,tt0057940,nm0000406,,,,,,,,,,,,,
5790,tt0057952,nm0368871,,,,,,,,,,,,,
5791,tt0057960,nm0001596,,,,,,,,,,,,,
5792,tt0057967,nm0653620,,,,,,,,,,,,,
5793,tt0057986,nm0140257,,,,,,,,,,,,,
5794,tt0057993,nm0546672,nm0179281,,,,,,,,,,,,
5795,tt0057997,nm0002134,,,,,,,,,,,,,
5796,tt0057999,nm0542720,,,,,,,,,,,,,
5797,tt0058003,nm0000774,,,,,,,,,,,,,
5798,tt0058006,nm0733790,,,,,,,,,,,,,
5799,tt0058007,nm0794843,,,,,,,,,,,,,
5800,tt0058011,nm0789033,,,,,,,,,,,,,
5801,tt0058018,nm0850895,,,,,,,,,,,,,
5802,tt0058022,nm0459552,,,,,,,,,,,,,
5803,tt0058050,nm0279807,,,,,,,,,,,,,
5804,tt0058073,nm0005711,,,,,,,,,,,,,
5805,tt0058083,nm0001486,,,,,,,,,,,,,
5806,tt0058085,nm0542649,,,,,,,,,,,,,
5807,tt0058088,nm0958487,nm0000540,,,,,,,,,,,,
5808,tt0058089,nm0402161,,,,,,,,,,,,,
5809,tt0058091,nm0625680,,,,,,,,,,,,,
5810,tt0058092,nm0625680,,,,,,,,,,,,,
5811,tt0058100,nm0432846,,,,,,,,,,,,,
5812,tt0058101,nm0193359,,,,,,,,,,,,,
5813,tt0058122,nm0346087,,,,,,,,,,,,,
5814,tt0058123,nm0167496,,,,,,,,,,,,,
5815,tt0058124,nm0000005,,,,,,,,,,,,,
5816,tt0058126,nm0468882,,,,,,,,,,,,,
5817,tt0058135,nm0320833,,,,,,,,,,,,,
5818,tt0058138,nm0003433,,,,,,,,,,,,,
5819,tt0058139,nm0937830,,,,,,,,,,,,,
5820,tt0058142,nm0204471,,,,,,,,,,,,,
5821,tt0058150,nm0357891,,,,,,,,,,,,,
5822,tt0058153,nm0842582,,,,,,,,,,,,,
5823,tt0058154,nm0591486,,,,,,,,,,,,,
5824,tt0058155,nm0279807,,,,,,,,,,,,,
5825,tt0058166,nm0347086,,,,,,,,,,,,,
5826,tt0058167,nm0755963,,,,,,,,,,,,,
5827,tt0058175,nm0171747,nm0000024,,,,,,,,,,,,
5828,tt0058182,nm0504513,,,,,,,,,,,,,
5829,tt0058203,nm0003606,,,,,,,,,,,,,
5830,tt0058204,nm0505610,,,,,,,,,,,,,
5831,tt0058208,nm0855096,,,,,,,,,,,,,
5832,tt0058212,nm0703689,,,,,,,,,,,,,
5833,tt0058213,nm0000736,,,,,,,,,,,,,
5834,tt0058230,nm0523893,,,,,,,,,,,,,
5835,tt0058232,nm0146760,,,,,,,,,,,,,
5836,tt0058238,nm0934013,,,,,,,,,,,,,
5837,tt0058241,nm0164044,,,,,,,,,,,,,
5838,tt0058249,nm0000320,,,,,,,,,,,,,
5839,tt0058259,nm0774880,,,,,,,,,,,,,
5840,tt0058262,nm0796923,,,,,,,,,,,,,
5841,tt0058263,nm0521334,,,,,,,,,,,,,
5842,tt0058265,nm0000697,,,,,,,,,,,,,
5843,tt0058266,nm0076779,,,,,,,,,,,,,
5844,tt0058267,nm0382227,,,,,,,,,,,,,
5845,tt0058275,nm0513792,,,,,,,,,,,,,
5846,tt0058277,nm0705497,,,,,,,,,,,,,
5847,tt0058279,nm0462030,,,,,,,,,,,,,
5848,tt0058283,nm0336139,,,,,,,,,,,,,
5849,tt0058289,nm0275034,,,,,,,,,,,,,
5850,tt0058294,nm0744035,,,,,,,,,,,,,
5851,tt0058301,nm0000540,,,,,,,,,,,,,
5852,tt0058307,nm0546672,,,,,,,,,,,,,
5853,tt0058311,nm0313124,,,,,,,,,,,,,
5854,tt0058316,nm0682881,,,,,,,,,,,,,
5855,tt0058318,nm0447944,,,,,,,,,,,,,
5856,tt0058323,nm0357891,,,,,,,,,,,,,
5857,tt0058324,nm0001328,,,,,,,,,,,,,
5858,tt0058329,nm0000033,,,,,,,,,,,,,
5859,tt0058331,nm0829038,,,,,,,,,,,,,
5860,tt0058333,nm0000339,,,,,,,,,,,,,
5861,tt0058335,nm0001120,,,,,,,,,,,,,
5862,tt0058341,nm0546672,,,,,,,,,,,,,
5863,tt0058346,nm0060002,,,,,,,,,,,,,
5864,tt0058349,nm0621540,,,,,,,,,,,,,
5865,tt0058361,nm0452045,,,,,,,,,,,,,
5866,tt0058371,nm0624809,,,,,,,,,,,,,
5867,tt0058374,nm0745498,,,,,,,,,,,,,
5868,tt0058379,nm0393094,,,,,,,,,,,,,
5869,tt0058382,nm0689659,,,,,,,,,,,,,
5870,tt0058383,nm0689659,,,,,,,,,,,,,
5871,tt0058384,nm0038906,,,,,,,,,,,,,
5872,tt0058385,nm0002030,,,,,,,,,,,,,
5873,tt0058390,nm0002087,,,,,,,,,,,,,
5874,tt0058403,nm0145336,,,,,,,,,,,,,
5875,tt0058404,nm0001379,,,,,,,,,,,,,
5876,tt0058405,nm0005711,,,,,,,,,,,,,
5877,tt0058409,nm0840671,,,,,,,,,,,,,
5878,tt0058413,nm0198765,,,,,,,,,,,,,
5879,tt0058415,nm0232795,,,,,,,,,,,,,
5880,tt0058419,nm0126864,,,,,,,,,,,,,
5881,tt0058423,nm0307435,nm0518117,,,,,,,,,,,,
5882,tt0058429,nm0670282,,,,,,,,,,,,,
5883,tt0058430,nm0793881,,,,,,,,,,,,,
5884,tt0058437,nm0728688,,,,,,,,,,,,,
5885,tt0058438,nm0217035,,,,,,,,,,,,,
5886,tt0058440,nm0918659,,,,,,,,,,,,,
5887,tt0058446,nm0002189,nm0792450,,,,,,,,,,,,
5888,tt0058450,nm0218840,,,,,,,,,,,,,
5889,tt0058453,nm0703689,,,,,,,,,,,,,
5890,tt0058456,nm0001471,,,,,,,,,,,,,
5891,tt0058458,nm0000076,,,,,,,,,,,,,
5892,tt0058461,nm0001466,,,,,,,,,,,,,
5893,tt0058475,nm0128764,,,,,,,,,,,,,
5894,tt0058479,nm0624535,,,,,,,,,,,,,
5895,tt0058481,nm0207108,,,,,,,,,,,,,
5896,tt0058500,nm0002338,,,,,,,,,,,,,
5897,tt0058512,nm0223317,,,,,,,,,,,,,
5898,tt0058523,nm0439597,nm0852279,,,,,,,,,,,,
5899,tt0058525,nm0235066,,,,,,,,,,,,,
5900,tt0058529,nm0235066,,,,,,,,,,,,,
5901,tt0058530,nm0005738,,,,,,,,,,,,,
5902,tt0058533,nm0671862,,,,,,,,,,,,,
5903,tt0058534,nm0723664,,,,,,,,,,,,,
5904,tt0058541,nm0457246,,,,,,,,,,,,,
5905,tt0058544,nm0393094,,,,,,,,,,,,,
5906,tt0058548,nm0916977,,,,,,,,,,,,,
5907,tt0058551,nm0223869,,,,,,,,,,,,,
5908,tt0058557,nm0285302,,,,,,,,,,,,,
5909,tt0058561,nm0000339,,,,,,,,,,,,,
5910,tt0058564,nm0314584,,,,,,,,,,,,,
5911,tt0058567,nm0000878,,,,,,,,,,,,,
5912,tt0058571,nm0422484,,,,,,,,,,,,,
5913,tt0058576,nm0001239,,,,,,,,,,,,,
5914,tt0058580,nm0703689,,,,,,,,,,,,,
5915,tt0058585,nm0761522,,,,,,,,,,,,,
5916,tt0058586,nm0001175,,,,,,,,,,,,,
5917,tt0058600,nm0050853,,,,,,,,,,,,,
5918,tt0058604,nm0435563,,,,,,,,,,,,,
5919,tt0058606,nm0384335,,,,,,,,,,,,,
5920,tt0058615,nm0954918,,,,,,,,,,,,,
5921,tt0058618,nm0000878,,,,,,,,,,,,,
5922,tt0058620,nm0145336,,,,,,,,,,,,,
5923,tt0058621,nm0291035,,,,,,,,,,,,,
5924,tt0058622,nm0867747,,,,,,,,,,,,,
5925,tt0058625,nm0856267,,,,,,,,,,,,,
5926,tt0058631,nm0004596,,,,,,,,,,,,,
5927,tt0058642,nm0660886,,,,,,,,,,,,,
5928,tt0058651,nm0040789,,,,,,,,,,,,,
5929,tt0058652,nm0331471,,,,,,,,,,,,,
5930,tt0058657,nm0865709,,,,,,,,,,,,,
5931,tt0058659,nm0577477,,,,,,,,,,,,,
5932,tt0058660,nm0091430,,,,,,,,,,,,,
5933,tt0058666,nm0375224,,,,,,,,,,,,,
5934,tt0058672,nm0202088,,,,,,,,,,,,,
5935,tt0058680,nm0173728,nm0744185,nm0144677,,,,,,,,,,,
5936,tt0058694,nm0504496,,,,,,,,,,,,,
5937,tt0058700,nm0758508,nm0706575,,,,,,,,,,,,
5938,tt0058708,nm0910199,,,,,,,,,,,,,
5939,tt0058715,nm0001596,,,,,,,,,,,,,
5940,tt0058719,nm0405440,,,,,,,,,,,,,
5941,tt0058724,nm0926919,,,,,,,,,,,,,
5942,tt0058725,nm0796645,,,,,,,,,,,,,
5943,tt0058743,nm0496746,,,,,,,,,,,,,
5944,tt0058745,nm0229424,,,,,,,,,,,,,
5945,tt0058751,nm0718243,,,,,,,,,,,,,
5946,tt0058753,nm0789033,,,,,,,,,,,,,
5947,tt0058756,nm0001351,,,,,,,,,,,,,
5948,tt0058770,nm0901229,,,,,,,,,,,,,
5949,tt0058777,nm0256831,,,,,,,,,,,,,
5950,tt0058785,nm0065449,,,,,,,,,,,,,
5951,tt0058787,nm0417352,,,,,,,,,,,,,
5952,tt0058863,nm0006954,,,,,,,,,,,,,
5953,tt0058866,nm0502391,,,,,,,,,,,,,
5954,tt0058881,nm0340894,,,,,,,,,,,,,
5955,tt0058882,nm0340894,,,,,,,,,,,,,
5956,tt0058886,nm0715346,,,,,,,,,,,,,
5957,tt0058888,nm0000041,,,,,,,,,,,,,
5958,tt0058898,nm0000419,,,,,,,,,,,,,
5959,tt0058917,nm0936823,,,,,,,,,,,,,
5960,tt0058920,nm0422484,,,,,,,,,,,,,
5961,tt0058924,nm0434189,,,,,,,,,,,,,
5962,tt0058930,nm0612322,,,,,,,,,,,,,
5963,tt0058933,nm0822555,,,,,,,,,,,,,
5964,tt0058938,nm0006615,nm0173728,nm0728271,nm0744185,,,,,,,,,,
5965,tt0058946,nm0690597,,,,,,,,,,,,,
5966,tt0058947,nm0002175,,,,,,,,,,,,,
5967,tt0058949,nm0202681,,,,,,,,,,,,,
5968,tt0058953,nm0038906,,,,,,,,,,,,,
5969,tt0058954,nm0355755,,,,,,,,,,,,,
5970,tt0058962,nm0364805,,,,,,,,,,,,,
5971,tt0058977,nm0242897,,,,,,,,,,,,,
5972,tt0058981,nm0723664,,,,,,,,,,,,,
5973,tt0058983,nm0700659,,,,,,,,,,,,,
5974,tt0058985,nm0889513,,,,,,,,,,,,,
5975,tt0058986,nm0335093,nm0491626,,,,,,,,,,,,
5976,tt0058990,nm0002016,,,,,,,,,,,,,
5977,tt0058997,nm0695937,,,,,,,,,,,,,
5978,tt0058998,nm0366314,,,,,,,,,,,,,
5979,tt0059012,nm0000080,,,,,,,,,,,,,
5980,tt0059014,nm0858873,,,,,,,,,,,,,
5981,tt0059015,nm0598102,,,,,,,,,,,,,
5982,tt0059017,nm0799033,,,,,,,,,,,,,
5983,tt0059022,nm0880618,,,,,,,,,,,,,
5984,tt0059025,nm0740270,,,,,,,,,,,,,
5985,tt0059032,nm0106387,,,,,,,,,,,,,
5986,tt0059037,nm0422484,,,,,,,,,,,,,
5987,tt0059043,nm0943758,,,,,,,,,,,,,
5988,tt0059044,nm0504496,,,,,,,,,,,,,
5989,tt0059045,nm0000878,,,,,,,,,,,,,
5990,tt0059049,nm0173728,,,,,,,,,,,,,
5991,tt0059050,nm0002020,,,,,,,,,,,,,
5992,tt0059063,nm0538445,,,,,,,,,,,,,
5993,tt0059065,nm0554249,,,,,,,,,,,,,
5994,tt0059076,nm0789033,,,,,,,,,,,,,
5995,tt0059079,nm0002254,,,,,,,,,,,,,
5996,tt0059084,nm0772259,,,,,,,,,,,,,
5997,tt0059091,nm0307086,,,,,,,,,,,,,
5998,tt0059094,nm0467396,,,,,,,,,,,,,
5999,tt0059095,nm0677880,,,,,,,,,,,,,
6000,tt0059103,nm0004654,,,,,,,,,,,,,
6001,tt0059104,nm0546672,,,,,,,,,,,,,
6002,tt0059106,nm0621469,,,,,,,,,,,,,
6003,tt0059112,nm0506589,,,,,,,,,,,,,
6004,tt0059113,nm0000180,,,,,,,,,,,,,
6005,tt0059114,nm0275034,,,,,,,,,,,,,
6006,tt0059116,nm0744017,nm0063383,,,,,,,,,,,,
6007,tt0059124,nm0851537,,,,,,,,,,,,,
6008,tt0059125,nm0005711,,,,,,,,,,,,,
6009,tt0059126,nm0281865,,,,,,,,,,,,,
6010,tt0059127,nm0279807,,,,,,,,,,,,,
6011,tt0059159,nm0651915,,,,,,,,,,,,,
6012,tt0059160,nm0521334,,,,,,,,,,,,,
6013,tt0059163,nm0386706,,,,,,,,,,,,,
6014,tt0059166,nm0001471,,,,,,,,,,,,,
