,nconst,primaryName
311,nm0000354,Matt Damon
312,nm0000356,Sybil Danning
313,nm0000357,Lolita Davidovich
314,nm0000358,Daniel Day-Lewis
315,nm0000359,Olivier De Funès
316,nm0000360,Rebecca De Mornay
317,nm0000361,Brian De Palma
318,nm0000362,Danny DeVito
319,nm0000364,Sandra Dee
320,nm0000365,Julie Delpy
321,nm0000366,Catherine Deneuve
322,nm0000367,Gérard Depardieu
323,nm0000368,Laura Dern
324,nm0000369,Matt Dillon
325,nm0000374,Brad Dourif
326,nm0000375,Robert Downey Jr.
327,nm0000377,Richard Dreyfuss
328,nm0000378,Minnie Driver
329,nm0000379,Kirsten Dunst
330,nm0000380,Robert Duvall
331,nm0000381,Anthony Edwards
332,nm0000382,Atom Egoyan
333,nm0000383,Jennifer Ehle
334,nm0000385,Sam Elliott
335,nm0000386,Roland Emmerich
336,nm0000387,Robert Englund
337,nm0000389,Emilio Estevez
338,nm0000391,Rupert Everett
339,nm0000392,Morgan Fairchild
340,nm0000393,Peter Falk
341,nm0000397,Corey Feldman
342,nm0000398,Sally Field
343,nm0000399,David Fincher
344,nm0000400,Linda Fiorentino
345,nm0000401,Laurence Fishburne
346,nm0000402,Carrie Fisher
347,nm0000404,Jane Fonda
348,nm0000406,John Ford
349,nm0000407,Vivica A. Fox
350,nm0000408,Jonathan Frakes
351,nm0000409,Brendan Fraser
352,nm0000410,Stephen Fry
353,nm0000411,Edward Furlong
354,nm0000412,Andy Garcia
355,nm0000413,Janeane Garofalo
356,nm0000414,Teri Garr
357,nm0000415,Jami Gertz
358,nm0000416,Terry Gilliam
359,nm0000417,Crispin Glover
360,nm0000418,Danny Glover
361,nm0000419,Jean-Luc Godard
362,nm0000420,Valeria Golino
363,nm0000421,Cuba Gooding Jr.
364,nm0000422,John Goodman
365,nm0000423,Serena Grandi
366,nm0000424,Hugh Grant
367,nm0000425,Peter Greenaway
368,nm0000426,Jennifer Grey
369,nm0000427,Pam Grier
370,nm0000428,D.W. Griffith
371,nm0000429,Melanie Griffith
372,nm0000430,Steve Guttenberg
373,nm0000431,Taylor Hackford
374,nm0000432,Gene Hackman
375,nm0000433,Corey Haim
376,nm0000434,Mark Hamill
377,nm0000435,Daryl Hannah
378,nm0000436,Curtis Hanson
379,nm0000437,Woody Harrelson
380,nm0000438,Ed Harris
381,nm0000439,Neil Patrick Harris
382,nm0000441,Noah Hathaway
383,nm0000442,Rutger Hauer
384,nm0000443,Goldie Hawn
385,nm0000444,Glenne Headly
386,nm0000445,Dan Hedaya
387,nm0000446,Mariel Hemingway
388,nm0000447,Marilu Henner
389,nm0000448,Lance Henriksen
390,nm0000450,Philip Seymour Hoffman
391,nm0000451,Gaby Hoffmann
392,nm0000452,Lauren Holly
393,nm0000453,Ian Holm
394,nm0000454,Dennis Hopper
395,nm0000455,John Hughes
396,nm0000456,Holly Hunter
397,nm0000457,John Hurt
398,nm0000458,William Hurt
399,nm0000459,Timothy Hutton
400,nm0000460,Jeremy Irons
401,nm0000461,Michael Ironside
402,nm0000462,Kate Jackson
403,nm0000463,Famke Janssen
404,nm0000464,Jim Jarmusch
405,nm0000466,Jean-Pierre Jeunet
406,nm0000467,Don Johnson
407,nm0000468,Lynn-Holly Johnson
408,nm0000469,James Earl Jones
409,nm0000471,Raul Julia
410,nm0000472,Boris Karloff
411,nm0000473,Diane Keaton
412,nm0000474,Michael Keaton
413,nm0000475,Patsy Kensit
414,nm0000476,Sally Kirkland
415,nm0000478,Tawny Kitaen
416,nm0000480,Elias Koteas
