"","tconst","directors"
"333","tt0017196","nm0719756"
"334","tt0017226","nm0190516"
"335","tt0017271","nm0474487"
"336","tt0017350","nm0803705"
"337","tt0017372","nm0895048"
"338","tt0017374","nm0000406"
"339","tt0017376","nm0895048"
"340","tt0017416","nm0280463"
"341","tt0017418","nm0698839"
"342","tt0017423","nm0064415"
"343","tt0017423","nm0573743"
"344","tt0017437","nm0001008"
"345","tt0017448","nm0003638"
"346","tt0017449","nm0629243"
"347","tt0017449","nm0830249"
"348","tt0017463","nm0000406"
"349","tt0017534","nm0781292"
"350","tt0017540","nm0909825"
"351","tt0017567","nm0454771"
"352","tt0017621","nm0301961"
"353","tt0017632","nm0731910"
"354","tt0017668","nm0752193"
"355","tt0017739","nm0501902"
"356","tt0017743","nm0774325"
"357","tt0017743","nm0178260"
"358","tt0017750","nm0882160"
"359","tt0017765","nm0000036"
"360","tt0017765","nm0395023"
"361","tt0017809","nm0055823"
"362","tt0017825","nm0000033"
"363","tt0017843","nm0000033"
"364","tt0017918","nm0428059"
"365","tt0017925","nm0115669"
"366","tt0017925","nm0000036"
"367","tt0017961","nm0575963"
"368","tt0017998","nm0002061"
"369","tt0018033","nm0046082"
"370","tt0018033","nm0903049"
"371","tt0018037","nm0189076"
"372","tt0018051","nm0928514"
"373","tt0018051","nm0516001"
"374","tt0018051","nm0587277"
"375","tt0018051","nm0397834"
"376","tt0018054","nm0001124"
"377","tt0018066","nm0699877"
"378","tt0018066","nm0231151"
"379","tt0018097","nm0115218"
"380","tt0018102","nm0001008"
"381","tt0018107","nm0332539"
"382","tt0018107","nm0318105"
"383","tt0018166","nm0159725"
"384","tt0018179","nm0631438"
"385","tt0018183","nm0853130"
"386","tt0018187","nm0245213"
"387","tt0018192","nm0304098"
"388","tt0018217","nm0017893"
"389","tt0018217","nm0001178"
"390","tt0018218","nm0189076"
"391","tt0018253","nm0763453"
"392","tt0018311","nm0000779"
"393","tt0018328","nm0000033"
"394","tt0018379","nm0097648"
